PassengerId,Survived,Passenger_Class,Sex,Age,Siblings_Spouses,Parents_Children,Fare,Cabin,Embarked
156,1,3,female,16.0,0,0,7.7333,Not Assigned,Q
157,0,3,male,30.0,0,0,8.05,Not Assigned,S
158,0,3,male,28.0,0,0,8.6625,Not Assigned,S
159,0,3,male,28.0,8,2,69.55,Not Assigned,S
160,0,3,male,44.0,0,1,16.1,Not Assigned,S
161,1,2,female,40.0,0,0,15.75,Not Assigned,S
162,0,3,male,26.0,0,0,7.775,Not Assigned,S
163,0,3,male,17.0,0,0,8.6625,Not Assigned,S
164,0,3,male,1.0,4,1,39.6875,Not Assigned,S
165,1,3,male,9.0,0,2,20.525,Not Assigned,S
166,1,1,female,28.0,0,1,55.0,E33,S
167,0,3,female,45.0,1,4,27.9,Not Assigned,S
168,0,1,male,28.0,0,0,25.925,Not Assigned,S
169,0,3,male,28.0,0,0,56.4958,Not Assigned,S
170,0,1,male,61.0,0,0,33.5,B19,S
171,0,3,male,4.0,4,1,29.125,Not Assigned,Q
172,1,3,female,1.0,1,1,11.1333,Not Assigned,S
173,0,3,male,21.0,0,0,7.925,Not Assigned,S
174,0,1,male,56.0,0,0,30.6958,A7,C
175,0,3,male,18.0,1,1,7.8542,Not Assigned,S
176,0,3,male,28.0,3,1,25.4667,Not Assigned,S
177,0,1,female,50.0,0,0,28.7125,C49,C
178,0,2,male,30.0,0,0,13.0,Not Assigned,S
179,0,3,male,36.0,0,0,0.0,Not Assigned,S
180,0,3,female,28.0,8,2,69.55,Not Assigned,S
181,0,2,male,28.0,0,0,15.05,Not Assigned,C
182,0,3,male,9.0,4,2,31.3875,Not Assigned,S
183,1,2,male,1.0,2,1,39.0,F4,S
184,1,3,female,4.0,0,2,22.025,Not Assigned,S
185,0,1,male,28.0,0,0,50.0,A32,S
186,1,3,female,28.0,1,0,15.5,Not Assigned,Q
187,1,1,male,45.0,0,0,26.55,Not Assigned,S
188,0,3,male,40.0,1,1,15.5,Not Assigned,Q
189,0,3,male,36.0,0,0,7.8958,Not Assigned,S
190,1,2,female,32.0,0,0,13.0,Not Assigned,S
191,0,2,male,19.0,0,0,13.0,Not Assigned,S
192,1,3,female,19.0,1,0,7.8542,Not Assigned,S
193,1,2,male,3.0,1,1,26.0,F2,S
194,1,1,female,44.0,0,0,27.7208,B4,C
195,1,1,female,58.0,0,0,146.5208,B80,C
196,0,3,male,28.0,0,0,7.75,Not Assigned,Q
197,0,3,male,42.0,0,1,8.4042,Not Assigned,S
198,1,3,female,28.0,0,0,7.75,Not Assigned,Q
199,0,2,female,24.0,0,0,13.0,Not Assigned,S
200,0,3,male,28.0,0,0,9.5,Not Assigned,S
201,0,3,male,28.0,8,2,69.55,Not Assigned,S
202,0,3,male,34.0,0,0,6.4958,Not Assigned,S
203,0,3,male,45.5,0,0,7.225,Not Assigned,C
204,1,3,male,18.0,0,0,8.05,Not Assigned,S
205,0,3,female,2.0,0,1,10.4625,G6,S
206,0,3,male,32.0,1,0,15.85,Not Assigned,S
207,1,3,male,26.0,0,0,18.7875,Not Assigned,C
208,1,3,female,16.0,0,0,7.75,Not Assigned,Q
209,1,1,male,40.0,0,0,31.0,A31,C
210,0,3,male,24.0,0,0,7.05,Not Assigned,S
211,0,3,male,22.0,0,0,7.25,Not Assigned,S
212,0,2,male,30.0,0,0,13.0,Not Assigned,S
213,0,3,male,28.0,1,0,7.75,Not Assigned,Q
214,1,1,female,31.0,1,0,113.275,D36,C
215,1,3,female,27.0,0,0,7.925,Not Assigned,S
216,0,2,male,42.0,1,0,27.0,Not Assigned,S
217,1,1,female,32.0,0,0,76.2917,D15,C
218,0,2,male,30.0,0,0,10.5,Not Assigned,S
219,1,3,male,16.0,0,0,8.05,Not Assigned,S
220,0,2,male,27.0,0,0,13.0,Not Assigned,S
221,0,3,male,51.0,0,0,8.05,Not Assigned,S
222,0,3,male,28.0,0,0,7.8958,Not Assigned,S
223,1,1,male,38.0,1,0,90.0,C93,S
224,0,3,male,22.0,0,0,9.35,Not Assigned,S
225,1,2,male,19.0,0,0,10.5,Not Assigned,S
226,0,3,male,20.5,0,0,7.25,Not Assigned,S
227,0,2,male,18.0,0,0,13.0,Not Assigned,S
228,0,3,female,28.0,3,1,25.4667,Not Assigned,S
229,1,1,female,35.0,1,0,83.475,C83,S
230,0,3,male,29.0,0,0,7.775,Not Assigned,S
231,0,2,male,59.0,0,0,13.5,Not Assigned,S
232,1,3,female,5.0,4,2,31.3875,Not Assigned,S
233,0,2,male,24.0,0,0,10.5,Not Assigned,S
234,0,3,female,28.0,0,0,7.55,Not Assigned,S
235,0,2,male,44.0,1,0,26.0,Not Assigned,S
236,1,2,female,8.0,0,2,26.25,Not Assigned,S
237,0,2,male,19.0,0,0,10.5,Not Assigned,S
238,0,2,male,33.0,0,0,12.275,Not Assigned,S
239,0,3,female,28.0,1,0,14.4542,Not Assigned,C
240,1,3,female,28.0,1,0,15.5,Not Assigned,Q
241,0,2,male,29.0,0,0,10.5,Not Assigned,S
242,0,3,male,22.0,0,0,7.125,Not Assigned,S
243,0,3,male,30.0,0,0,7.225,Not Assigned,C
244,0,1,male,44.0,2,0,90.0,C78,Q
245,0,3,female,25.0,0,0,7.775,Not Assigned,S
246,1,2,female,24.0,0,2,14.5,Not Assigned,S
247,1,1,male,37.0,1,1,52.5542,D35,S
248,0,2,male,54.0,1,0,26.0,Not Assigned,S
249,0,3,male,28.0,0,0,7.25,Not Assigned,S
250,0,3,female,29.0,1,1,10.4625,G6,S
251,0,1,male,62.0,0,0,26.55,C87,S
252,0,3,male,30.0,1,0,16.1,Not Assigned,S
253,0,3,female,41.0,0,2,20.2125,Not Assigned,S
254,1,3,female,29.0,0,2,15.2458,Not Assigned,C
255,1,1,female,28.0,0,0,79.2,Not Assigned,C
256,1,1,female,30.0,0,0,86.5,B77,S
257,1,1,female,35.0,0,0,512.3292,Not Assigned,C
258,1,2,female,50.0,0,1,26.0,Not Assigned,S
259,0,3,male,28.0,0,0,7.75,Not Assigned,Q
260,1,3,male,3.0,4,2,31.3875,Not Assigned,S
261,0,1,male,52.0,1,1,79.65,E67,S
262,0,1,male,40.0,0,0,0.0,B94,S
263,0,3,female,28.0,0,0,7.75,Not Assigned,Q
264,0,2,male,36.0,0,0,10.5,Not Assigned,S
265,0,3,male,16.0,4,1,39.6875,Not Assigned,S
266,1,3,male,25.0,1,0,7.775,Not Assigned,S
267,1,1,female,58.0,0,1,153.4625,C125,S
268,1,1,female,35.0,0,0,135.6333,C99,S
269,0,1,male,28.0,0,0,31.0,Not Assigned,S
270,1,3,male,25.0,0,0,0.0,Not Assigned,S
271,1,2,female,41.0,0,1,19.5,Not Assigned,S
272,0,1,male,37.0,0,1,29.7,C118,C
273,1,3,female,28.0,0,0,7.75,Not Assigned,Q
274,1,1,female,63.0,1,0,77.9583,D7,S
275,0,3,female,45.0,0,0,7.75,Not Assigned,S
276,0,2,male,28.0,0,0,0.0,Not Assigned,S
277,0,3,male,7.0,4,1,29.125,Not Assigned,Q
278,1,3,female,35.0,1,1,20.25,Not Assigned,S
279,0,3,male,65.0,0,0,7.75,Not Assigned,Q
280,0,3,male,28.0,0,0,7.8542,Not Assigned,S
281,0,3,male,16.0,0,0,9.5,Not Assigned,S
282,1,3,male,19.0,0,0,8.05,Not Assigned,S
283,0,1,male,28.0,0,0,26.0,A19,S
284,0,3,male,33.0,0,0,8.6625,Not Assigned,C
285,1,3,male,30.0,0,0,9.5,Not Assigned,S
286,0,3,male,22.0,0,0,7.8958,Not Assigned,S
287,1,2,male,42.0,0,0,13.0,Not Assigned,S
288,1,3,female,22.0,0,0,7.75,Not Assigned,Q
289,1,1,female,26.0,0,0,78.85,Not Assigned,S
290,1,1,female,19.0,1,0,91.0792,B49,C
291,0,3,female,24.0,0,0,8.85,Not Assigned,S
292,0,3,male,24.0,0,0,7.8958,Not Assigned,S
293,0,1,male,28.0,0,0,27.7208,Not Assigned,C
294,0,3,male,23.5,0,0,7.2292,Not Assigned,C
295,0,1,female,2.0,1,2,151.55,C22 C26,S
296,1,1,male,28.0,0,0,30.5,C106,S
297,1,1,female,50.0,0,1,247.5208,B58 B60,C
298,1,3,female,28.0,0,0,7.75,Not Assigned,Q
299,1,3,male,28.0,2,0,23.25,Not Assigned,Q
300,0,3,male,19.0,0,0,0.0,Not Assigned,S
301,1,2,female,28.0,0,0,12.35,E101,Q
302,0,3,male,28.0,0,0,8.05,Not Assigned,S
303,1,1,male,0.92,1,2,151.55,C22 C26,S
304,1,1,female,28.0,0,0,110.8833,Not Assigned,C
305,1,1,female,17.0,1,0,108.9,C65,C
306,0,2,male,30.0,1,0,24.0,Not Assigned,C
307,1,1,female,30.0,0,0,56.9292,E36,C
308,1,1,female,24.0,0,0,83.1583,C54,C
309,1,1,female,18.0,2,2,262.375,B57 B59 B63 B66,C
310,0,2,female,26.0,1,1,26.0,Not Assigned,S
311,0,3,male,28.0,0,0,7.8958,Not Assigned,S
312,0,2,male,43.0,1,1,26.25,Not Assigned,S
313,1,3,female,26.0,0,0,7.8542,Not Assigned,S
314,1,2,female,24.0,1,0,26.0,Not Assigned,S
315,0,2,male,54.0,0,0,14.0,Not Assigned,S
316,1,1,female,31.0,0,2,164.8667,C7,S
317,1,1,female,40.0,1,1,134.5,E34,C
318,0,3,male,22.0,0,0,7.25,Not Assigned,S
319,0,3,male,27.0,0,0,7.8958,Not Assigned,S
320,1,2,female,30.0,0,0,12.35,Not Assigned,Q
321,1,2,female,22.0,1,1,29.0,Not Assigned,S
322,0,3,male,28.0,8,2,69.55,Not Assigned,S
323,1,1,female,36.0,0,0,135.6333,C32,C
324,0,3,male,61.0,0,0,6.2375,Not Assigned,S
325,1,2,female,36.0,0,0,13.0,D,S
326,1,3,female,31.0,1,1,20.525,Not Assigned,S
327,1,1,female,16.0,0,1,57.9792,B18,C
328,1,3,female,28.0,2,0,23.25,Not Assigned,Q
329,0,1,male,45.5,0,0,28.5,C124,S
330,0,1,male,38.0,0,1,153.4625,C91,S
331,0,3,male,16.0,2,0,18.0,Not Assigned,S
332,1,1,female,28.0,1,0,133.65,Not Assigned,S
333,0,3,male,28.0,0,0,7.8958,Not Assigned,S
334,0,1,male,29.0,1,0,66.6,C2,S
335,1,1,female,41.0,0,0,134.5,E40,C
336,1,3,male,45.0,0,0,8.05,Not Assigned,S
337,0,1,male,45.0,0,0,35.5,T,S
338,1,2,male,2.0,1,1,26.0,F2,S
339,1,1,female,24.0,3,2,263.0,C23 C25 C27,S
340,0,2,male,28.0,0,0,13.0,Not Assigned,S
341,0,2,male,25.0,0,0,13.0,Not Assigned,S
342,0,2,male,36.0,0,0,13.0,Not Assigned,S
343,1,2,female,24.0,0,0,13.0,F33,S
344,1,2,female,40.0,0,0,13.0,Not Assigned,S
345,1,3,female,28.0,1,0,16.1,Not Assigned,S
346,1,3,male,3.0,1,1,15.9,Not Assigned,S
347,0,3,male,42.0,0,0,8.6625,Not Assigned,S
348,0,3,male,23.0,0,0,9.225,Not Assigned,S
349,0,1,male,28.0,0,0,35.0,C128,S
350,0,3,male,15.0,1,1,7.2292,Not Assigned,C
351,0,3,male,25.0,1,0,17.8,Not Assigned,S
352,0,3,male,28.0,0,0,7.225,Not Assigned,C
353,0,3,male,28.0,0,0,9.5,Not Assigned,S
354,1,1,female,22.0,0,1,55.0,E33,S
355,0,2,female,38.0,0,0,13.0,Not Assigned,S
356,1,3,female,28.0,0,0,7.8792,Not Assigned,Q
357,1,3,female,28.0,0,0,7.8792,Not Assigned,Q
358,0,3,male,40.0,1,4,27.9,Not Assigned,S
359,0,2,male,29.0,1,0,27.7208,Not Assigned,C
360,0,3,female,45.0,0,1,14.4542,Not Assigned,C
361,0,3,male,35.0,0,0,7.05,Not Assigned,S
362,0,3,male,28.0,1,0,15.5,Not Assigned,Q
363,0,3,male,30.0,0,0,7.25,Not Assigned,S
364,1,1,female,60.0,1,0,75.25,D37,C
365,1,3,female,28.0,0,0,7.2292,Not Assigned,C
366,1,3,female,28.0,0,0,7.75,Not Assigned,Q
367,1,1,female,24.0,0,0,69.3,B35,C
368,1,1,male,25.0,1,0,55.4417,E50,C
369,0,3,male,18.0,1,0,6.4958,Not Assigned,S
370,0,3,male,19.0,0,0,8.05,Not Assigned,S
371,0,1,male,22.0,0,0,135.6333,Not Assigned,C
372,0,3,female,3.0,3,1,21.075,Not Assigned,S
373,1,1,female,28.0,1,0,82.1708,Not Assigned,C
374,1,3,female,22.0,0,0,7.25,Not Assigned,S
375,0,1,male,27.0,0,2,211.5,C82,C
376,0,3,male,20.0,0,0,4.0125,Not Assigned,C
377,0,3,male,19.0,0,0,7.775,Not Assigned,S
378,1,1,female,42.0,0,0,227.525,Not Assigned,C
379,1,3,female,1.0,0,2,15.7417,Not Assigned,C
380,0,3,male,32.0,0,0,7.925,Not Assigned,S
381,1,1,female,35.0,1,0,52.0,Not Assigned,S
382,0,3,male,28.0,0,0,7.8958,Not Assigned,S
383,0,2,male,18.0,0,0,73.5,Not Assigned,S
384,0,3,male,1.0,5,2,46.9,Not Assigned,S
385,1,2,female,36.0,0,0,13.0,Not Assigned,S
386,0,3,male,28.0,0,0,7.7292,Not Assigned,Q
387,1,2,female,17.0,0,0,12.0,Not Assigned,C
388,1,1,male,36.0,1,2,120.0,B96 B98,S
389,1,3,male,21.0,0,0,7.7958,Not Assigned,S
390,0,3,male,28.0,2,0,7.925,Not Assigned,S
391,1,1,female,23.0,1,0,113.275,D36,C
392,1,3,female,24.0,0,2,16.7,G6,S
393,0,3,male,22.0,0,0,7.7958,Not Assigned,S
394,0,3,female,31.0,0,0,7.8542,Not Assigned,S
395,0,2,male,46.0,0,0,26.0,Not Assigned,S
396,0,2,male,23.0,0,0,10.5,Not Assigned,S
397,1,2,female,28.0,0,0,12.65,Not Assigned,S
398,1,3,male,39.0,0,0,7.925,Not Assigned,S
399,0,3,male,26.0,0,0,8.05,Not Assigned,S
400,0,3,female,21.0,1,0,9.825,Not Assigned,S
401,0,3,male,28.0,1,0,15.85,Not Assigned,S
402,0,3,female,20.0,0,0,8.6625,Not Assigned,S
403,0,2,male,34.0,1,0,21.0,Not Assigned,S
404,0,3,male,51.0,0,0,7.75,Not Assigned,S
405,1,2,male,3.0,1,1,18.75,Not Assigned,S
406,0,3,male,21.0,0,0,7.775,Not Assigned,S
407,0,3,female,28.0,3,1,25.4667,Not Assigned,S
408,0,3,male,28.0,0,0,7.8958,Not Assigned,S
409,0,3,male,28.0,0,0,6.8583,Not Assigned,Q
410,1,1,female,33.0,1,0,90.0,C78,Q
411,0,2,male,28.0,0,0,0.0,Not Assigned,S
412,1,3,male,44.0,0,0,7.925,Not Assigned,S
413,0,3,female,28.0,0,0,8.05,Not Assigned,S
414,1,2,female,34.0,1,1,32.5,Not Assigned,S
415,1,2,female,18.0,0,2,13.0,Not Assigned,S
416,0,2,male,30.0,0,0,13.0,Not Assigned,S
417,0,3,female,10.0,0,2,24.15,Not Assigned,S
418,0,3,male,28.0,0,0,7.8958,Not Assigned,C
419,0,3,male,21.0,0,0,7.7333,Not Assigned,Q
420,0,3,male,29.0,0,0,7.875,Not Assigned,S
421,0,3,female,28.0,1,1,14.4,Not Assigned,S
422,0,3,male,28.0,0,0,7.25,Not Assigned,S
423,1,2,female,28.0,1,0,26.0,Not Assigned,S
424,1,2,female,19.0,0,0,26.0,Not Assigned,S
425,0,3,male,28.0,0,0,7.75,Not Assigned,Q
426,1,3,male,32.0,0,0,8.05,E10,S
427,1,1,male,28.0,0,0,26.55,C52,S
428,1,3,female,28.0,1,0,16.1,Not Assigned,S
429,1,2,female,42.0,1,0,26.0,Not Assigned,S
430,0,3,male,17.0,0,0,7.125,Not Assigned,S
431,0,1,male,50.0,1,0,55.9,E44,S
432,1,1,female,14.0,1,2,120.0,B96 B98,S
433,0,3,female,21.0,2,2,34.375,Not Assigned,S
434,1,2,female,24.0,2,3,18.75,Not Assigned,S
435,0,1,male,64.0,1,4,263.0,C23 C25 C27,S
436,0,2,male,31.0,0,0,10.5,Not Assigned,S
437,1,2,female,45.0,1,1,26.25,Not Assigned,S
438,0,3,male,20.0,0,0,9.5,Not Assigned,S
439,0,3,male,25.0,1,0,7.775,Not Assigned,S
440,1,2,female,28.0,0,0,13.0,Not Assigned,S
441,1,3,male,28.0,0,0,8.1125,Not Assigned,S
442,1,1,male,4.0,0,2,81.8583,A34,S
443,1,2,female,13.0,0,1,19.5,Not Assigned,S
444,1,1,male,34.0,0,0,26.55,Not Assigned,S
445,1,3,female,5.0,2,1,19.2583,Not Assigned,C
446,1,1,male,52.0,0,0,30.5,C104,S
447,0,2,male,36.0,1,2,27.75,Not Assigned,S
448,0,3,male,28.0,1,0,19.9667,Not Assigned,S
449,0,1,male,30.0,0,0,27.75,C111,C
450,1,1,male,49.0,1,0,89.1042,C92,C
451,0,3,male,28.0,0,0,8.05,Not Assigned,S
452,1,3,male,29.0,0,0,7.8958,Not Assigned,C
453,0,1,male,65.0,0,0,26.55,E38,S
454,1,1,female,28.0,1,0,51.8625,D21,S
455,1,2,female,50.0,0,0,10.5,Not Assigned,S
456,0,3,male,28.0,0,0,7.75,Not Assigned,Q
457,1,1,male,48.0,0,0,26.55,E12,S
458,0,3,male,34.0,0,0,8.05,Not Assigned,S
459,0,1,male,47.0,0,0,38.5,E63,S
460,0,2,male,48.0,0,0,13.0,Not Assigned,S
461,0,3,male,28.0,0,0,8.05,Not Assigned,S
462,0,3,male,38.0,0,0,7.05,Not Assigned,S
463,0,2,male,28.0,0,0,0.0,Not Assigned,S
464,0,1,male,56.0,0,0,26.55,Not Assigned,S
465,0,3,male,28.0,0,0,7.725,Not Assigned,Q
466,1,3,female,0.75,2,1,19.2583,Not Assigned,C
467,0,3,male,28.0,0,0,7.25,Not Assigned,S
468,0,3,male,38.0,0,0,8.6625,Not Assigned,S
469,1,2,female,33.0,1,2,27.75,Not Assigned,S
470,1,2,female,23.0,0,0,13.7917,D,C
471,0,3,female,22.0,0,0,9.8375,Not Assigned,S
472,0,1,male,28.0,0,0,52.0,A14,S
473,0,2,male,34.0,1,0,21.0,Not Assigned,S
474,0,3,male,29.0,1,0,7.0458,Not Assigned,S
475,0,3,male,22.0,0,0,7.5208,Not Assigned,S
476,1,3,female,2.0,0,1,12.2875,Not Assigned,S
477,0,3,male,9.0,5,2,46.9,Not Assigned,S
478,0,2,male,28.0,0,0,0.0,Not Assigned,S
479,0,3,male,50.0,0,0,8.05,Not Assigned,S
480,1,3,female,63.0,0,0,9.5875,Not Assigned,S
481,1,1,male,25.0,1,0,91.0792,B49,C
482,0,3,female,28.0,3,1,25.4667,Not Assigned,S
483,1,1,female,35.0,1,0,90.0,C93,S
484,0,1,male,58.0,0,0,29.7,B37,C
485,0,3,male,30.0,0,0,8.05,Not Assigned,S
